data,Reali,PC
2020-03-04,5,0
2020-03-05,3,2
2020-03-06,2,2
2020-03-07,3,1
2020-03-08,4,0
2020-03-09,6,8
2020-03-10,10,4
2020-03-11,8,4
2020-03-12,19,5
2020-03-13,21,20
2020-03-14,20,13
2020-03-15,26,22
2020-03-16,30,30
2020-03-17,26,22
2020-03-18,42,21
2020-03-19,49,21
2020-03-20,62,34
2020-03-21,67,29
2020-03-22,74,45
2020-03-23,80,32
2020-03-24,98,59
2020-03-25,87,75
2020-03-26,85,0
2020-03-27,96,120
2020-03-28,101,48
2020-03-29,88,67
2020-03-30,84,65
2020-03-31,82,105
2020-04-01,92,32
2020-04-02,83,97
2020-04-03,90,60
2020-04-04,58,85
2020-04-05,97,40
2020-04-06,94,83
2020-04-07,84,68
2020-04-08,84,59
2020-04-09,55,76
2020-04-10,85,78
2020-04-11,90,101
2020-04-12,75,96
2020-04-13,75,97
2020-04-14,75,101
2020-04-15,87,88
2020-04-16,75,79
2020-04-17,74,77
2020-04-18,68,81
2020-04-19,78,79
2020-04-20,61,78
2020-04-21,58,76
2020-04-22,45,74
2020-04-23,50,71
2020-04-24,51,69
2020-04-25,64,68
2020-04-26,42,56
2020-04-27,47,55
2020-04-28,55,58
2020-04-29,37,67
2020-04-30,29,63
2020-05-01,35,31
2020-05-02,36,29
2020-05-03,43,26
2020-05-04,20,34
2020-05-05,42,30
2020-05-06,25,31
2020-05-07,37,35
2020-05-08,24,23
2020-05-09,25,26
2020-05-10,22,36
2020-05-11,24,33
2020-05-12,25,28
2020-05-13,22,32
2020-05-14,22,33
2020-05-15,21,64
2020-05-16,11,37
2020-05-17,17,18
2020-05-18,26,20
2020-05-19,15,47
2020-05-20,18,39
2020-05-21,9,24
2020-05-22,11,15
2020-05-23,13,14
2020-05-24,17,12
2020-05-25,11,15
2020-05-26,8,14
2020-05-27,7,16
2020-05-28,11,10
2020-05-29,10,13
2020-05-30,9,7
2020-05-31,10,9
2020-06-01,12,9
2020-06-02,12,8
2020-06-03,9,14
2020-06-04,5,12
2020-06-05,7,17
2020-06-06,6,7
2020-06-07,4,7
2020-06-08,4,13
2020-06-09,5,7
2020-06-10,10,15
2020-06-11,2,12
2020-06-12,3,8
2020-06-13,5,10
2020-06-14,1,6
2020-06-15,6,0
2020-06-16,2,6
2020-06-17,7,8
2020-06-18,5,6
2020-06-19,1,7
2020-06-20,3,6
2020-06-21,2,6
2020-06-22,3,4
2020-06-23,4,4
2020-06-24,2,7
2020-06-25,2,5
2020-06-26,1,6
2020-06-27,3,3
2020-06-28,2,5
2020-06-29,0,2
2020-06-30,0,3
