doy,data,AR,FI,GR,LI,LU,MS,PI,PO,PT,SI,F-R
75,16/03/20,0,1,0,2,2,5,2,0,1,1,0
76,17/03/20,0,0,0,1,2,0,0,1,1,0,0
77,18/03/20,0,0,0,0,3,1,1,0,0,0,0
78,19/03/20,0,3,0,1,6,4,0,0,1,0,0
79,20/03/20,0,0,1,1,1,1,0,1,3,1,0
80,21/03/20,0,2,1,0,2,9,5,2,3,1,0
81,22/03/20,1,5,0,2,2,4,2,1,2,0,0
82,23/03/20,0,1,0,2,1,7,3,2,2,1,0
83,24/03/20,1,3,0,1,1,4,3,1,8,1,0
84,25/03/20,0,5,0,0,1,2,2,1,2,1,0
85,26/03/20,1,5,1,2,1,4,3,1,1,0,0
86,27/03/20,2,0,0,0,7,3,2,1,4,0,0
87,28/03/20,0,2,0,1,3,1,3,0,5,2,1
88,29/03/20,0,2,0,5,3,3,1,0,2,1,1
89,30/03/20,0,6,1,1,1,1,0,3,2,0,1
90,31/03/20,1,4,0,1,2,1,2,1,0,1,0
91,01/04/20,1,5,1,1,0,0,1,1,1,0,0
92,02/04/20,0,3,1,0,6,1,3,0,1,0,0
93,03/04/20,1,5,1,1,3,3,1,3,4,2,1
94,04/04/20,2,5,0,3,3,3,0,0,3,0,0
95,05/04/20,0,2,1,1,5,2,4,0,3,0,0
96,06/04/20,0,17,1,1,6,3,0,1,0,1,0
97,07/04/20,2,7,1,0,3,2,0,1,2,1,0
98,08/04/20,0,10,2,0,3,1,3,2,2,0,0
99,09/04/20,1,8,0,0,1,2,2,1,1,0,0
100,10/04/20,1,10,0,2,4,2,1,3,4,0,0
101,11/04/20,0,4,0,0,0,4,1,0,3,1,1
102,12/04/20,0,9,1,2,3,3,4,2,3,0,0
103,13/04/20,2,5,0,1,4,6,3,1,0,1,0
104,14/04/20,0,13,0,0,3,2,0,0,2,0,0
105,15/04/20,3,5,0,2,2,1,2,0,1,2,0
106,16/04/20,1,7,0,2,4,8,3,2,1,0,0
107,17/04/20,3,3,0,0,1,3,1,0,0,5,2
108,18/04/20,0,5,1,0,2,5,2,1,0,0,0
109,19/04/20,0,9,0,3,3,1,1,1,0,0,0
110,20/04/20,1,13,0,0,3,6,2,1,3,1,0
111,21/04/20,3,8,0,0,2,2,2,1,0,1,0
112,22/04/20,1,9,0,2,2,1,1,2,1,0,0
113,23/04/20,0,15,0,0,3,0,0,0,0,0,0
114,24/04/20,0,11,2,0,2,0,3,1,0,0,0
115,25/04/20,2,11,0,1,3,0,0,0,0,1,0
116,26/04/20,3,11,0,1,1,1,1,0,0,0,0
117,27/04/20,1,8,0,1,2,2,1,1,1,0,0
118,28/04/20,2,9,0,0,4,1,0,0,0,0,0
119,29/04/20,1,10,0,0,2,2,0,1,1,0,0
120,30/04/20,1,11,0,0,1,0,1,1,0,0,0
121,01/05/20,1,5,0,0,2,1,2,0,0,0,1
122,02/05/20,0,5,0,1,1,1,1,0,0,0,0
